Sección,Calificación,Cantidad de alumnos con esa calificación,Género
speak 1,Pre - A1,22,Masculino
speak 1,A1,30,Masculino
speak 1,A2,9,Masculino
speak 2,Pre - A1,23,Masculino
speak 2,A1,30,Masculino
speak 2,A2,8,Masculino
reading,Pre - A1,9,Masculino
reading,A1 -,5,Masculino
reading,A1,15,Masculino
reading,A1 +,10,Masculino
reading,A2 -,9,Masculino
reading,A2,7,Masculino
reading,A2 +,6,Masculino
listening,Pre - A1,3,Masculino
listening,A1 -,10,Masculino
listening,A1,14,Masculino
listening,A1 +,14,Masculino
listening,A2 -,11,Masculino
listening,A2,6,Masculino
listening,A2 +,2,Masculino
speak 1,Pre - A1,22,Femenino
speak 1,A1,25,Femenino
speak 1,A2,6,Femenino
speak 2,Pre - A1,22,Femenino
speak 2,A1,23,Femenino
speak 2,A2,8,Femenino
reading,Pre - A1,6,Femenino
reading,A1 -,2,Femenino
reading,A1,8,Femenino
reading,A1 +,13,Femenino
reading,A2 -,11,Femenino
reading,A2,5,Femenino
reading,A2 +,8,Femenino
listening,Pre - A1,0,Femenino
listening,A1 -,11,Femenino
listening,A1,10,Femenino
listening,A1 +,12,Femenino
listening,A2 -,9,Femenino
listening,A2,6,Femenino
listening,A2 +,5,Femenino
